sample_id,date,location,virus,reads_assigned,percent_of_sample_reads,median_identity,mean_identity,genome_coverage_breadth,mean_depth,confidence
260605-BC-NAS-P2,"June 05, 2026",Boston (Park/Tremont St),Rhinovirus A,5116,74.3496584798721,0.7185762526302132,0.7226008470285311,1.0,2019.260067114094,low
260605-BC-NAS-P2,"June 05, 2026",Boston (Park/Tremont St),Rhinovirus B,5,0.07266385699752943,0.7619479733817301,0.7558279455414312,0.8470604547975596,2.40363283416528,low
260605-BC-NAS-P2,"June 05, 2026",Boston (Park/Tremont St),Human coronavirus OC43,1,0.014532771399505887,0.8548553719008265,0.8548553719008265,0.060635633193454996,0.060635633193454996,very low
260605-BC-NAS-P2,"June 05, 2026",Boston (Park/Tremont St),Rhinovirus C,1,0.014532771399505887,0.822429906542056,0.822429906542056,0.04437244682349627,0.04437244682349627,very low
260605-BC-NAS-P3,"June 05, 2026",Boston (Park/Tremont St),Rhinovirus A,6561,63.18982952903785,0.7232472324723247,0.7370129946644136,1.0,2804.585850111857,low
260605-BC-NAS-P3,"June 05, 2026",Boston (Park/Tremont St),Rhinovirus B,2,0.019262255610131947,0.7223741665806448,0.7223741665806448,0.5388241819190238,0.9452301719356628,very low
260608-Copl-NAS-P1,"June 08, 2026",Copley Square,Rhinovirus A,89662,49.41770421689071,0.7224799662589625,0.7230169865790076,1.0,38006.281459731545,low
260608-Copl-NAS-P1,"June 08, 2026",Copley Square,Rhinovirus B,4999,2.7552263320050487,0.7853016688061617,0.7835157207494199,1.0,2059.260399334443,medium
260608-Copl-NAS-P1,"June 08, 2026",Copley Square,Influenza C,413,0.22762722046771056,0.9597069597069597,0.9588273211420586,0.8583242836855735,46.29512989725169,high
260608-Copl-NAS-P1,"June 08, 2026",Copley Square,Rhinovirus C,329,0.18133015867766772,0.7041303737004777,0.7172670033955367,0.6350190167629244,141.7661642484857,low
260608-Copl-NAS-P2,"June 08, 2026",Copley Square,Rhinovirus A,83,31.800766283524904,0.7493112947658402,0.7378345000608038,0.8832494407158836,35.76761744966443,low
260608-Copl-NAS-P2,"June 08, 2026",Copley Square,Rhinovirus B,7,2.681992337164751,0.8100970873786407,0.8089513459142947,0.4150027731558514,2.1738768718801995,low
260609-Cent-NAS-P1,"June 09, 2026",Central Square,Rhinovirus B,5465,56.47995039272427,0.7717834271298273,0.7745356924655986,0.9682473655019412,2466.1900998336105,medium
260609-Cent-NAS-P1,"June 09, 2026",Central Square,Rhinovirus A,2814,29.082265398925177,0.7203647416413373,0.7234472721867699,0.870665548098434,1070.457774049217,low
260609-Cent-NAS-P1,"June 09, 2026",Central Square,Human coronavirus NL63,1,0.010334849111202976,0.9811616954474097,0.9811616954474097,0.046201865495590314,0.046201865495590314,very low
260609-Cent-NAS-P2,"June 09, 2026",Central Square,Human coronavirus OC43,20386,72.9295603334168,0.9804545100817516,0.9780974830270789,0.8863407176084057,1963.8105787059628,high
260609-Cent-NAS-P2,"June 09, 2026",Central Square,Rhinovirus B,1554,5.559331735413014,0.719769733812287,0.7258123957729,0.9859955629506378,766.2739877981143,low
260609-Cent-NAS-P2,"June 09, 2026",Central Square,Rhinovirus A,256,0.9158229885879869,0.7138382687927107,0.7130388526363471,0.9854586129753915,115.20176174496645,low
260610-MBTA_Da-NAS-P1,"June 10, 2026",MBTA (Davis Square),Rhinovirus A,30366,38.43554205430036,0.7240855042335443,0.7255343803061364,1.0,12277.846895973154,low
260610-MBTA_Da-NAS-P1,"June 10, 2026",MBTA (Davis Square),Rhinovirus B,764,0.9670274033289032,0.7334004024144869,0.7417843788140781,0.9294231835829173,276.28397115917915,low
260610-MBTA_Da-NAS-P1,"June 10, 2026",MBTA (Davis Square),Rhinovirus C,55,0.06961584709828492,0.7278131634819532,0.7319056792884934,0.6350190167629244,16.937878574447105,low
260610-MBTA_Da-NAS-P1,"June 10, 2026",MBTA (Davis Square),Human coronavirus OC43,1,0.0012657426745142713,0.9434984520123839,0.9434984520123839,0.04115025535929215,0.04115025535929215,very low
260610-MBTA_Da-NAS-P2,"June 10, 2026",MBTA (Davis Square),Human coronavirus OC43,2,0.6116207951070336,0.9826412275936991,0.9826412275936991,0.22777398262906218,0.22777398262906218,very low
260610-MBTA_Da-NAS-P2,"June 10, 2026",MBTA (Davis Square),Rhinovirus A,2,0.6116207951070336,0.7292349370671036,0.7292349370671036,0.316834451901566,0.633668903803132,very low
260610-MBTA_Da-NAS-P2,"June 10, 2026",MBTA (Davis Square),Rhinovirus B,2,0.6116207951070336,0.723748810970983,0.723748810970983,0.7279534109816972,0.8703549639489739,very low
260611-BC-NAS-P1,"June 11, 2026",Boston (Park/Tremont St),Rhinovirus A,1050,46.33715798764342,0.8117025767280559,0.8097625285158834,0.9755313199105146,346.6045861297539,medium
260611-BC-NAS-P1,"June 11, 2026",Boston (Park/Tremont St),Rhinovirus C,257,11.341571050308914,0.7368040491684743,0.725323460782162,0.4234399211156501,66.81560783208903,low
260611-BC-NAS-P1,"June 11, 2026",Boston (Park/Tremont St),Rhinovirus B,21,0.9267431597528685,0.7665505226480837,0.7638362068926116,0.3336106489184692,1.0364669994453688,medium
260611-BC-NAS-P1,"June 11, 2026",Boston (Park/Tremont St),Human coronavirus OC43,3,0.1323918799646955,0.9644602398933807,0.9442467272637032,0.21193194756188805,0.3356429524088351,low
260611-BC-NAS-P2,"June 11, 2026",Boston (Park/Tremont St),Rhinovirus B,30881,43.1745099684031,0.7098572702943801,0.7155881284040628,0.9866888519134775,15044.095951192458,low
260611-BC-NAS-P2,"June 11, 2026",Boston (Park/Tremont St),Rhinovirus A,20907,29.229930374968543,0.7258243793997777,0.7277172250235002,0.952321029082774,10033.4100950783,low
260611-BC-NAS-P2,"June 11, 2026",Boston (Park/Tremont St),Rhinovirus C,19,0.02656376702178229,0.7039187227866474,0.7140657121668093,0.09128046203690661,1.5658543456824905,low
260611-BC-NAS-P3,"June 11, 2026",Boston (Park/Tremont St),Rhinovirus A,12611,52.32128780649712,0.7286976346537475,0.7281657443492852,0.9699384787472036,5695.936241610738,low
260611-BC-NAS-P3,"June 11, 2026",Boston (Park/Tremont St),Rhinovirus B,17,0.07053063933950131,0.7174193548387097,0.7462508134465393,0.5560177481974486,1.7782861896838602,low
260611-BC-NAS-P3,"June 11, 2026",Boston (Park/Tremont St),Rhinovirus C,16,0.06638177820188358,0.8198757763975155,0.8137991926066497,0.056768558951965066,0.41822791942527116,medium
260613-MBTA_Ha-NAS-P1,"June 13, 2026",MBTA (Harvard Station),Rhinovirus B,18964,79.58036088963492,0.7725056873578161,0.7737998583902692,0.9643649473100389,8683.221020521354,medium
260613-MBTA_Ha-NAS-P1,"June 13, 2026",MBTA (Harvard Station),Rhinovirus A,1122,4.708350818296265,0.7397151898734177,0.7373351607659501,0.7249720357941835,414.0013982102908,low
260613-MBTA_Ha-NAS-P1,"June 13, 2026",MBTA (Harvard Station),Human coronavirus OC43,1,0.00419639110365086,0.98690539818279,0.98690539818279,0.1216290946943821,0.1216290946943821,very low
